ds;y
01/01/2015;12509
02/01/2015;22479
03/01/2015;31880
04/01/2015;41362
05/01/2015;52996
06/01/2015;61052
07/01/2015;71538
08/01/2015;81692
09/01/2015;91682
10/01/2015;101141
11/01/2015;111135
12/01/2015;121375
13/01/2015;131593
14/01/2015;141702
15/01/2015;152095
16/01/2015;161506
17/01/2015;172270
18/01/2015;181227
19/01/2015;192818
20/01/2015;202416
21/01/2015;212282
22/01/2015;221226
23/01/2015;231391
24/01/2015;242491
25/01/2015;252113
26/01/2015;262560
27/01/2015;272639
28/01/2015;281424
29/01/2015;292453
30/01/2015;301800
31/01/2015;311720
01/02/2015;321604
02/02/2015;331126
03/02/2015;342435
04/02/2015;352860
05/02/2015;361511
06/02/2015;372701
07/02/2015;382973
08/02/2015;392388
09/02/2015;401514
10/02/2015;411502
11/02/2015;421565
12/02/2015;431150
13/02/2015;442010
14/02/2015;452442
15/02/2015;462318
16/02/2015;471329
17/02/2015;481253
18/02/2015;492215
19/02/2015;502204
20/02/2015;512675
21/02/2015;522303
22/02/2015;531838
23/02/2015;542385
24/02/2015;552458
25/02/2015;562964
26/02/2015;571345
27/02/2015;581869
28/02/2015;591261
01/03/2015;602880
02/03/2015;611186
03/03/2015;622434
04/03/2015;631729
05/03/2015;642652
06/03/2015;651859
07/03/2015;661671
08/03/2015;671574
09/03/2015;682863
10/03/2015;692677
11/03/2015;701056
12/03/2015;711464
13/03/2015;722595
14/03/2015;731156
15/03/2015;742285
16/03/2015;751191
17/03/2015;761579
18/03/2015;771859
19/03/2015;782658
20/03/2015;791985
21/03/2015;802179
22/03/2015;812907
23/03/2015;822780
24/03/2015;831590
25/03/2015;841172
26/03/2015;851246
27/03/2015;862574
28/03/2015;872717
29/03/2015;882551
30/03/2015;892800
31/03/2015;901859
01/04/2015;912700
02/04/2015;922654
03/04/2015;932519
04/04/2015;942799
05/04/2015;951438
06/04/2015;961875
07/04/2015;972868
08/04/2015;981470
09/04/2015;991639
10/04/2015;1001842
11/04/2015;1012514
12/04/2015;1022894
13/04/2015;1031658
14/04/2015;1042293
15/04/2015;1052643
16/04/2015;1062982
17/04/2015;1071203
18/04/2015;1081858
19/04/2015;1091339
20/04/2015;1101195
21/04/2015;1111086
22/04/2015;1121566
23/04/2015;1131579
24/04/2015;1142443
25/04/2015;1152416
26/04/2015;1161466
27/04/2015;1171583
28/04/2015;1182831
29/04/2015;1191083
30/04/2015;1201143
01/05/2015;1212764
02/05/2015;1221418
03/05/2015;1232931
04/05/2015;1242843
05/05/2015;1252385
06/05/2015;1261728
07/05/2015;1272973
08/05/2015;1281344
09/05/2015;1291015
10/05/2015;1301136
11/05/2015;1312755
12/05/2015;1322100
13/05/2015;1331623
14/05/2015;1342197
15/05/2015;1351662
16/05/2015;1361387
17/05/2015;1372663
18/05/2015;1382665
19/05/2015;1391392
20/05/2015;1401054
21/05/2015;1412509
22/05/2015;1422736
23/05/2015;1431849
24/05/2015;1442779
25/05/2015;1452014
26/05/2015;1461469
27/05/2015;1472678
28/05/2015;1481028
29/05/2015;1492347
30/05/2015;1502288
31/05/2015;1511035
01/06/2015;1521073
02/06/2015;1532366
03/06/2015;1542681
04/06/2015;1552628
05/06/2015;1561994
06/06/2015;1572055
07/06/2015;1582382
08/06/2015;1592904
09/06/2015;1602639
10/06/2015;1612780
11/06/2015;1622576
12/06/2015;1632564
13/06/2015;1642894
14/06/2015;1652176
15/06/2015;1662807
16/06/2015;1672505
17/06/2015;1681205
18/06/2015;1691663
